sentences,processed_sentences,risk_label
"nerl mos i involves the construction of a one-mile extension of the existing newark city subway light rail line and is expected to be part of a proposed eight mile light rail line between newark, nj and elizabeth, nj.",nerl mos i involve the construction of a one mile extension of the exist newark city subway light rail line and be expect to be part of a propose eight mile light rail line between newark nj and elizabeth nj,0
"
in addition to these two series of notes, njt issued the series 2000a capital grant anticipation notes, which were separately secured by fta grants pursuant to another ffga for the hudson-bergen light rail transit system minimum operable segment 1.",in addition to these two series of note njt issue the series a capital grant anticipation note which be separately secure by fta grant pursuant to another ffga for the hudson bergen light rail transit system minimum operable segment,0
"in fact, it was necessary in two instances for njt to use its own operating funds to ensure full and timely payment of debt service due to gaps between grant receipts and scheduled debt service requirements.",in fact it be necessary in two instance for njt to use its own operating fund to ensure full and timely payment of debt service due to gap between grant receipt and schedule debt service requirement,0
the operating funds were subsequently reimbursed on receipt of the grants.,the operating fund be subsequently reimburse on receipt of the grant,0
the three senators noted that governor christie has pledged to fight for preservation of the new starts funding in the upcoming federal budget battle.,the three senator note that governor christie have pledge to fight for preservation of the new start funding in the upcoming federal budget battle,0
"""construction of the gateway rail tunnels will double rail commuter capacity to new york and provide one-seat rides on every nj transit rail line,"" said senator gordon (d-bergen/passaic).",construction of the gateway rail tunnel will double rail commuter capacity to new york and provide one seat ride on every nj transit rail line say senator gordon d bergen passaic,0
"construction was supposed to begin this year with new starts funding."" ""the elimination of new starts funding for new projects would have a devastating effect on the extension of the hudson-bergen light rail line into bergen county that was one of the top priorities in our renewal of the transportation trust fund,"" said senator weinberg (d-bergen).",construction be suppose to begin this year with new start funding the elimination of new start funding for new project would have a devastating effect on the extension of the hudson bergen light rail line into bergen county that be one of the top priority in our renewal of the transportation trust fund say senator weinberg d bergen,1
"we were hoping to get at least $300 million in federal funding for the project."" the gateway tunnel is critical to new jersey commuters and the tri-state economy, and is among the nation's most important infrastructure projects, said senate republican leader tom kean.",we be hope to get at least million in federal funding for the project the gateway tunnel be critical to new jersey commuter and the tri state economy and be among the nation s most important infrastructure project say senate republican leader tom kean,0
the ability to provide one-seat rides to manhattan on the raritan valley line and every other nj transit rail line would spur the revitalization of downtowns all across our state.,the ability to provide one seat ride to manhattan on the raritan valley line and every other nj transit rail line would spur the revitalization of downtown all across our state,0
joining senators weinberg and gordon at the press conference at newark penn station today were port authority commissioner caren z.,join senator weinberg and gordon at the press conference at newark penn station today be port authority commissioner caren z,0
"turner; north jersey transportation planning authority chairman peter palmer, who also serves as a republican freeholder in somerset county; veronica vanterpool, executive director of the tristate gordon, weinberg, kean urge congressional delegation to protect vital funding for gateway tunnel, hudson/bergen light rail transportation campaign; mark lohbauer, new jersey director for the regional plan association; and len resto, the chairman of the association of railroad passengers of new jersey who serves as a republican councilman in chatham borough.",turner north jersey transportation planning authority chairman peter palmer who also serve as a republican freeholder in somerset county veronica vanterpool executive director of the tristate gordon weinberg kean urge congressional delegation to protect vital funding for gateway tunnel hudson bergen light rail transportation campaign mark lohbauer new jersey director for the regional plan association and len resto the chairman of the association of railroad passenger of new jersey who serve as a republican councilman in chatham borough,0
"but construction will not conclude until the end of this year or early 2021 because crews have been forced to redo work along the 8.5-mile route, metro officials said.",but construction will not conclude until the end of this year or early because crew have be force to redo work along the mile route metro official say,0
"
once construction ends, metro will need about five months to test the line and train the rail operators.",once construction end metro will need about five month to test the line and train the rail operator,0
"
the $90 million should cover metros expenses through december, said chief program management officer rick clarke.",the million should cover metro expense through december say chief program management officer rick clarke,0
"he said the contractor, walsh/shea, will pay for some of the work that needs to be redone.",he say the contractor walsh shea will pay for some of the work that need to be redo,0
" the contractor, a joint venture of walsh construction and j.f. shea construction, did not return a request for comment.",the contractor a joint venture of walsh construction and j f shea construction do not return a request for comment,0
washington said it is becoming more and more difficult to know when major projects with multiyear schedules will be finished.,washington say it be become more and more difficult to know when major project with multiyear schedule will be finish,0
the crenshaw line delay is a frustration for drivers and bus riders who have waited decades for a more reliable transit option between the westside and the south bay.,the crenshaw line delay be a frustration for driver and bus rider who have wait decade for a more reliable transit option between the westside and the south bay,0
"the line will run through inglewood and the los angeles neighborhoods of baldwin hills, hyde park, leimert park and westchester.",the line will run through inglewood and the los angeles neighborhood of baldwin hill hyde park leimert park and westchester,0
"the crenshaw line is undeniably complex, with street-level, underground and elevated sections of track, said los angeles county supervisor mark ridley-thomas, who represents most of the project area.",the crenshaw line be undeniably complex with street level underground and elevated section of track say los angeles county supervisor mark ridley thomas who represent most of the project area,0
"
the contractor has said it is safe for metro to run test trains on the tracks supported by the settling walls, clarke said, but they will need to be repaired before passengers can ride.",the contractor have say it be safe for metro to run test train on the track support by the settle wall clarke say but they will need to be repair before passenger can ride,0
"getting that right, he said, involves connecting more than 8,000 components to the agencys rail control center.",get that right he say involve connect more than component to the agencys rail control center,0
"commissioner henry duque, who proposed going ahead with the grade crossing, said ""no grade crossing can be made completely safe."" an administrative law judge the cpuc hired advised the commission to approve a plan that would put an underground pass for the train at the del mar boulevard crossing, said kyle devine of the commission.",commissioner henry duque who propose go ahead with the grade crossing say no grade crossing can be make completely safe an administrative law judge the cpuc hire advise the commission to approve a plan that would put an underground pass for the train at the del mar boulevard crossing say kyle devine of the commission,0
"by setting a 20 mph speed limit for trains going through the area and implementing other measures, the crossing can be made safe, duque said.",by set a mph speed limit for train go through the area and implement other measure the crossing can be make safe duque say,0
one of the safety measures proposed by the local authority overseeing construction of the line would have a gate come down to block the entire intersection so motorists would be unable to drive around it.,one of the safety measure propose by the local authority oversee construction of the line would have a gate come down to block the entire intersection so motorist would be unable to drive around it,0
"metro gold line foothill extension construction authority (construction authority) chair and glendora mayor douglas tessitor today thanked congressional representatives adam schiff, grace napolitano, judy chu and david dreier for their leadership in including language in the recently enacted surface transportation bill to help expedite transit projects like the gold line foothill extension.",metro gold line foothill extension construction authority construction authority chair and glendora mayor douglas tessitor today thank congressional representative adam schiff grace napolitano judy chu and david dreier for their leadership in include language in the recently enact surface transportation bill to help expedite transit project like the gold line foothill extension,0
"""our delegation is to be commended for their efforts to deliver critical public transportation to the citizens of our region and our state in a timely way which will help reduce costs and put people to work,"" tessitor said.",our delegation be to be commend for their effort to deliver critical public transportation to the citizen of our region and our state in a timely way which will help reduce cost and put people to work tessitor say,0
"since enactment of the last surface transportation bill (safetea-lu), california had participated in a pilot project which allowed the state to handle both state and federal environmental reviews for highway projects, thus eliminating time consuming and costly duplication.",since enactment of the last surface transportation bill safetea lu california have participate in a pilot project which allow the state to handle both state and federal environmental review for highway project thus eliminate time consuming and costly duplication,0
tessitor said that the construction authority had worked hard in washington over the last year-and-a-half during negotiations on the federal transportation bill to advocate expansion of this so-called nepa delegation program to include transit projects as well.,tessitor say that the construction authority have work hard in washington over the last year and a half during negotiation on the federal transportation bill to advocate expansion of this so call nepa delegation program to include transit project as well,0
"""our congressional delegation worked tirelessly on our behalf in support of extending the benefits of the highly successful nepa delegation program to transit and rail projects."" habib f.",our congressional delegation work tirelessly on our behalf in support of extend the benefit of the highly successful nepa delegation program to transit and rail project habib f,0
"""for a transit project like the gold line costing $500 million or more, every month of delay costs millions,"" balian noted.",for a transit project like the gold line cost million or more every month of delay cost million balian note,0
"""in addition a project of this size involves about 7,000 jobs (2,600 construction jobs alone), so delays in putting people to work also have an economic cost."" balian noted that the extension of the language to include transit and rail projects in efforts to expedite environmental reviews can benefit not just the gold line, but a number of other projects in the l.a. area as well.",in addition a project of this size involve about job construction job alone so delay in put people to work also have an economic cost balian note that the extension of the language to include transit and rail project in effort to expedite environmental review can benefit not just the gold line but a number of other project in the l a area as well,0
"he cited as examples the regional connector, the subway extension and crenshaw projects to name a few which could possibly benefit from these changes to federal regulations.",he cite as example the regional connector the subway extension and crenshaw project to name a few which could possibly benefit from these change to federal regulation,0
"this helped lower project costs and expedite job creation and economic benefits, without in any way short-changing any legal requirements or adversely affecting the environment.",this help lower project cost and expedite job creation and economic benefit without in any way short change any legal requirement or adversely affect the environment,0
"""and the ironic thing about duplicative environmental reviews,"" he said, ""is that they impede the very clean air benefits that are the point of environmental regulations in the first place.",and the ironic thing about duplicative environmental review he say be that they impede the very clean air benefit that be the point of environmental regulation in the first place,0
"with the help of our delegation in congress, we were able to make a compelling case for including transit and rail projects, along with highway projects, in efforts to streamline project delivery."" about the metro gold line foothill extension construction authority (construction authority) the construction authority is an independent transportation planning and construction agency created in 1999 by the california state legislature.",with the help of our delegation in congress we be able to make a compelling case for include transit and rail project along with highway project in effort to streamline project delivery about the metro gold line foothill extension construction authority construction authority the construction authority be an independent transportation planning and construction agency create in by the california state legislature,0
"according to the foothill gold line construction authority[2], which metro has contracted to build the project, san bernardino county officials are still weighing funding options for the final stretch of the project.",accord to the foothill gold line construction authority which metro have contract to build the project san bernardino county official be still weigh funding option for the final stretch of the project,0
"construction workers will break ground on the project in october, with the full extension expected to open by 2027.",construction worker will break ground on the project in october with the full extension expect to open by,0
"under the measure m spending plan[4], the extension is set to receive $1.02 billion in sales tax revenue.",under the measure m spending plan the extension be set to receive billion in sale tax revenue,0
"meanwhile, construction on metro's regional connector[5] project is already underway[6].",meanwhile construction on metro s regional connector project be already underway,0
"the 1.9-mile tunnel below downtown la will allow the expo line to merge with the southern portion of the gold line, while the northern stretch of the gold line (the one being extended to montclair) will connect with the blue line to long beach.agreements, budget approved for gold line extension to claremont, a key measure m project[7] [the source]gold line expansion to montclair is delayed at least two years[8] [curbed la]gold line could travel underground on its way to whittier[9] [curbed la] [ 1]: https://la.curbed.com/2016/11/9/13573924/measure-m-los-angeles-public-transit-results [ 2]: http://www.foothillgoldline.org/construction_phases/funding-status/ [ 3]: https://la.curbed.com/2017/1/26/14400212/gold-line-expansion-montclaire-opening-claremont-pomona [ 4]: http://thesource.metro.net/2016/11/08/measure-m-project-descriptions/ [ 5]: https://la.curbed.com/regional- connector [ 6]: https://la.curbed.com/2017/3/29/15115252/regional-connector-tunnel-video [ 7]: http://thesource.metro.net/2017/06/22/agreements-budget-approved-for-gold-line-extension-to-claremont-a-key- measure-m-project/ [ 8]: https://la.curbed.com/2017/1/26/14400212/gold-line-expansion-montclaire-opening- claremont-pomona [ 9]: https://la.curbed.com/2017/3/13/14910608/gold-line-extension-subway-whittier-east- la load-date: june 24, 2017",the mile tunnel below downtown la will allow the expo line to merge with the southern portion of the gold line while the northern stretch of the gold line the one be extend to montclair will connect with the blue line to long beach agreement budget approve for gold line extension to claremont a key measure m project the source gold line expansion to montclair be delay at least two years curb la gold line could travel underground on its way to whittier curbed la https la curbed com measure m los angeles public transit results http www foothillgoldline org construction phases funding status https la curbed com gold line expansion montclaire opening claremont pomona http thesource metro net measure m project descriptions https la curbed com regional connector https la curbed com regional connector tunnel video http thesource metro net agreements budget approved for gold line extension to claremont a key measure m project https la curbed com gold line expansion montclaire opening claremont pomona https la curbed com gold line extension subway whittier east la load date june,0
"the flower street group seems to want similar consideration, stating in the letter: ""while future plans for the development of other districts in the downtown area, e.g., little tokyo, should certainly be encouraged, at the same time it must be recognized that the financial district and its substantial infrastructure already exist and serve as a key economic driver for the entire region,"" adding, ""damaging the vitality of the downtown core will hinder, not promote, economic renewal in the whole area.",the flower street group seem to want similar consideration state in the letter while future plan for the development of other district in the downtown area e g little tokyo should certainly be encourage at the same time it must be recognize that the financial district and its substantial infrastructure already exist and serve as a key economic driver for the entire region add damage the vitality of the downtown core will hinder not promote economic renewal in the whole area,0
"""the addition of the metro gold line will greatly enhance travel opportunities, relieve traffic congestion and improve the quality of life for those commuting between pasadena and los angeles.",the addition of the metro gold line will greatly enhance travel opportunity relieve traffic congestion and improve the quality of life for those commute between pasadena and los angeles,0
"the mta had long said it would open the railway on july 1, but pulled back on that promise in recent months.",the mta have long say it would open the railway on july but pull back on that promise in recent month,0
planning for the railway has taken more than two decades.,plan for the railway have take more than two decade,0
"a hearing is set for july 29, days after the line's kickoff celebration.",a hearing be set for july day after the line s kickoff celebration,0
"to remedy the settlement, rcc engineers propose to connect the two foundations to share the load of the platform.",to remedy the settlement rcc engineer propose to connect the two foundation to share the load of the platform,0
"then, workers would pressure-grout no. 11 rebar dowels into the ends of the platform's walls and the equipment room foundation.",then worker would pressure grout no rebar dowel into the end of the platform s wall and the equipment room foundation,0
"dipping under and soaring over busy freeways and streets, the first 13.7-mile, $ 684-million phase of the los angeles-pasadena metro blue line is progressing with a smoothness that officials hope will continue unchecked.",dip under and soar over busy freeway and street the first mile million phase of the los angeles pasadena metro blue line be progress with a smoothness that official hope will continue unchecked,0
"by january of next year, the first of two contracts for the 13.7 miles should be complete, with a 2,800-ft-long aerial structure soaring above downtown los angeles' historic chinatown district.",by january of next year the first of two contract for the mile should be complete with a ft long aerial structure soar above downtown los angeles historic chinatown district,0
"critical path work for the second contract, which includes a 1,170-ft-long, 30-ft-wide cut-and-cover tunnel in downtown pasadena, is on time and budget, say officials with the blue line construction authority.",critical path work for the second contract which include a ft long ft wide cut and cover tunnel in downtown pasadena be on time and budget say official with the blue line construction authority,0
"
the columns, up to 10 ft in diameter, required extra steel because of california's new seismic codes.",the column up to ft in diameter require extra steel because of california s new seismic code,0
"the column cages weigh 75 tons, five times heavier than they would have been, he says.",the column cage weigh ton five time heavy than they would have be he say,0
panel members also harbor doubts about the other three.,panel member also harbor doubt about the other three,0
liebeler faces harsh grilling over her tenure at the itc.,liebeler face harsh grilling over her tenure at the itc,0
"the entire judicial-appointment process has slowed this year, and lawmakers and the administration blame each other for foot dragging.",the entire judicial appointment process have slow this year and lawmaker and the administration blame each other for foot dragging,0
"justice department officials note that of 31 judges nominated so far this year, the senate has acted on only 13 -- all confirmed.",justice department official note that of judge nominate so far this year the senate have act on only all confirm,0
"
his gpo allies worry that unless the tempo picks up, he may blow the opportunity to remake the court system.",his gpo ally worry that unless the tempo pick up he may blow the opportunity to remake the court system,0
polluters face big penalties the environmental protection agency is about to crack down on the nation's worst-polluting cities.,polluter face big penalty the environmental protection agency be about to crack down on the nation s worst pollute city,0
"unless congress intervenes, six localities -- whose names have not yet been revealed -- face the stiffest penalty: a prohibition against construction of new major ozone sources, such as municipal incinerators, electric power plants, gasoline-storage terminals, beverage-bottling plants, breweries and dry-cleaning plants.",unless congress intervene six locality whose name have not yet be reveal face the stiff penalty a prohibition against construction of new major ozone source such as municipal incinerator electric power plant gasoline storage terminal beverage bottle plant brewery and dry cleaning plant,0
other penalties include loss of federal highway funds and clean-air planning money.,other penalty include loss of federal highway fund and clean air planning money,0
"model for the industry' ''beyond miami, we are hopeful that this system will be a model for the industry,'' he added.",model for the industry beyond miami we be hopeful that this system will be a model for the industry he add,0
"at the moment, however, the future of people-mover systems in american cities is clouded.",at the moment however the future of people mover system in american city be clouded,0
"stanley, chief of the federal urban mass transportation administration, who was in miami for ceremonies marking the opening friday of metromover, has been a sharp critic of the miami system.",stanley chief of the federal urban mass transportation administration who be in miami for ceremony mark the opening friday of metromover have be a sharp critic of the miami system,0
"broadly speaking, the most critical areas for improvement that will help pioneering efforts such as ours are a streamlining of complicated regulatory processes, and enhancements to the debt markets that must accompanying equity investments to produce new projects.",broadly speak the most critical area for improvement that will help pioneer effort such as our be a streamlining of complicated regulatory process and enhancement to the debt market that must accompany equity investment to produce new project,0
both issues can benefit from re- tooling of already existing structures.,both issue can benefit from re tooling of already exist structure,0
"our own experiences with expanding our business into its second phase, which represents an incremental investment of $2 billion, clearly demonstrate these points.",our own experience with expand our business into its second phase which represent an incremental investment of billion clearly demonstrate these point,0
"
that 2 !/2 year process resulted 8 in the publishing of a final eis in august 2015.",that year process result in the publishing of a final eis in august,0
financial incentives also factor heavily in these decisions.,financial incentive also factor heavily in these decision,0
"as the demand for services such as brightline continue to emerge, the opportunity to activate the direction of private capital against new infrastructure can be catalyzed through more efficient utilization of already existing programs such as tifia, tax-exempt bonds, and the rrif program.",as the demand for service such as brightline continue to emerge the opportunity to activate the direction of private capital against new infrastructure can be catalyze through more efficient utilization of already exist program such as tifia tax exempt bond and the rrif program,0
"""anybody would be."" metro plans to ask the agency's directors this month to approve $90 million more for the crenshaw line.",anybody would be metro plan to ask the agency s director this month to approve million more for the crenshaw line,0
"if we have to delay the project, then that's what we'll do."" washington said it is ""becoming more and more difficult"" to know when major projects with multiyear schedules will be finished.",if we have to delay the project then that be what we will do washington say it be become more and more difficult to know when major project with multiyear schedule will be finish,0
"city & state; new rail line delayed again; crews must redo work on crenshaw route, now set to open mid- 2021 the crenshaw line delay is a frustration for drivers and bus riders who have waited decades for a more reliable transit option between the westside and the south bay.",city state new rail line delay again crew must redo work on crenshaw route now set to open mid the crenshaw line delay be a frustration for driver and bus rider who have wait decade for a more reliable transit option between the westside and the south bay,0
"the line will run through inglewood and the neighborhoods of baldwin hills, hyde park, leimert park and westchester.",the line will run through inglewood and the neighborhood of baldwin hill hyde park leimert park and westchester,0
thursday's approval allows the project to maintain its 2003 completion schedule.,thursday s approval allow the project to maintain its completion schedule,0
"citizens against blue line at-grade, named for the line's original color designation, hasn't decided whether to appeal the decision, said co-chair karen cutts.",citizen against blue line at grade name for the line s original color designation have not decide whether to appeal the decision say co chair karen cutts,0
"jan 26, 2017( curbed la: http://la.curbed.com/ delivered by newstex) 'substantial completion' by late 2025 or early 2026 commuters in san bernadino county eager to take the gold line into los angeles will have to wait a little longer than previously expected, as the 12.3 mile gold line extension[1] from glendora to montclair will be delayed two years.",jan curbed la http la curbed com deliver by newstex substantial completion by late or early commuter in san bernadino county eager to take the gold line into los angeles will have to wait a little long than previously expect as the mile gold line extension from glendora to montclair will be delay two year,0
"the foothill gold line construction authority board of directors has approved an updated plan[2] for the light rail line's extension, with construction set to start in october and 'substantial completion' by late 2025 or early 2026.",the foothill gold line construction authority board of director have approve an update plan for the light rail line s extension with construction set to start in october and substantial completion by late or early,0
[a citizens' group] has already filed a federal claim.,a citizen group have already file a federal claim,1
south pasadena recently made additional comments on the draft environmental impact statement for the proposed extension of the metro gold line light rail project (phase ii foothill extension).,south pasadena recently make additional comment on the draft environmental impact statement for the propose extension of the metro gold line light rail project phase ii foothill extension,0
"the impact of those comments is starting to resonate well beyond the small city of 25,000 and could impact rail transportation throughout all of los angeles.",the impact of those comment be start to resonate well beyond the small city of and could impact rail transportation throughout all of los angeles,0
"since then, the metropolitan transportation authority has twice sought more funding for the downtown regional connector, including a request this week for an additional $199 million.",since then the metropolitan transportation authority have twice seek more funding for the downtown regional connector include a request this week for an additional million,0
"the regional connector has become about 6% construction project, with the remainder being a utilities project, metro director jacqueline dupont-walker said thursday at a committee meeting.",the regional connector have become about construction project with the remainder be a utility project metro director jacqueline dupont walker say thursday at a committee meeting,0
the regional connector is seen as an essential piece in the countys rapidly growing rail system.,the regional connector be see as an essential piece in the county rapidly grow rail system,0
"metro officials want to increase the budget for this downtown subway project -- again twin subway tunnels will tie together the blue, expo and gold lines, allowing passengers to ride from santa monica to east los angeles, and from azusa to long beach, without changing trains.",metro official want to increase the budget for this downtown subway project again twin subway tunnel will tie together the blue expo and gold line allow passenger to ride from santa monica to east los angeles and from azusa to long beach without change train,0
"the unexpected utility work, and the delays that came with it, cost metro more than $79 million and ate through much of the funding allocated for unexpected expenses, according to the staff report.",the unexpected utility work and the delay that come with it cost metro more than million and eat through much of the funding allocate for unexpected expense accord to the staff report,1
"in december 2015, metros board approved a $130-million budget increase to replenish those funds.",in december metros board approve a million budget increase to replenish those fund,0
the report said planners had not budgeted adequately for unexpected cost increases.,the report say planner have not budget adequately for unexpected cost increase,1
"in that agreement, metro said the regional connector would open to passengers by may 29, 2021.",in that agreement metro say the regional connector would open to passenger by may,0
officials built five months of cushion into the construction schedule for unplanned delays.,official build five month of cushion into the construction schedule for unplanned delay,0
"instead, he has proposed negotiating all contract changes without board approval, unless they increase the total budget, with monthly reports provided to directors.",instead he have propose negotiate all contract change without board approval unless they increase the total budget with monthly report provide to director,0
"this is central to our ability to keep these projects on time and on budget, washington said.",this be central to our ability to keep these project on time and on budget washington say,0
"one month of delay can cost metro at least $2 million in additional labor costs, and often more, he said.",one month of delay can cost metro at least million in additional labor cost and often more he say,0
"""november will be too late,"" said habib balian, chief executive officer for the gold line foothill extension construction authority.",november will be too late say habib balian chief executive officer for the gold line foothill extension construction authority,0
"""we'll have to wait until next year."" local politicians have long pushed for the $400 million first phase of the 24-mile, $1.4 billion extension that could ultimately run all the way to ontario international airport.",we will have to wait until next year local politician have long push for the million first phase of the mile billion extension that could ultimately run all the way to ontario international airport,0
"the project was last voted down in february, days after area politicians said it would be approved.",the project be last vote down in february day after area politician say it would be approve,1
"on thursday, the mta board justified the delay to november to await the results of an expected county ballot measure that would increase sales tax by a half-cent to fund transit projects.",on thursday the mta board justify the delay to november to await the result of an expect county ballot measure that would increase sale tax by a half cent to fund transit project,1
mta estimates that the increase could raise $40 billion over 30 years.,mta estimate that the increase could raise billion over year,0
"the group voted to approve preliminary language for the measure thursday, and voted on a list of projects to be funded by the measure.",the group vote to approve preliminary language for the measure thursday and vote on a list of project to be fund by the measure,0
"""i'm extremely disappointed that the board didn't just vote to fund us today,"" said portantino.",i be extremely disappointed that the board do not just vote to fund us today say portantino,0
"""now we'll need to continue to work on the bill."" los angeles mta delays action on gold line extension inland a delegation from the san gabriel valley addressed the board before its decision.",now we will need to continue to work on the bill los angeles mta delay action on gold line extension inland a delegation from the san gabriel valley address the board before its decision,1
local legislators and council members said that it would be hard to garner support for the tax measure without funding for the gold line.,local legislator and council member say that it would be hard to garner support for the tax measure without funding for the gold line,0
"""the city of pasadena is prepared to look favorably at the sales tax -- if it sees support for the gold line,"" said pasadena mayor bill bogaard.",the city of pasadena be prepared to look favorably at the sale tax if it see support for the gold line say pasadena mayor bill bogaard,0
"
mta and the gold line construction authority don't even agree on how much the gold line will cost.",mta and the gold line construction authority do not even agree on how much the gold line will cost,0
"while the construction authority estimates it will cost $400 million, mta says it could be as much as $584 million.",while the construction authority estimate it will cost million mta say it could be as much as million,0
"john fasana, a board member and a duarte city council member, county supervisor michael antonovich and two other mta board members voted against delaying action on the gold line.",john fasana a board member and a duarte city council member county supervisor michael antonovich and two other mta board member vote against delay action on the gold line,0
that move will allow the agency to receive $214 million in federal funding.,that move will allow the agency to receive million in federal funding,0
"this is the year for everyone to get on board with the central corridor light-rail project, according to many involved with the nearly $1 billion plan to connect the downtowns of st. paul and minneapolis.",this be the year for everyone to get on board with the central corridor light rail project accord to many involve with the nearly billion plan to connect the downtown of st paul and minneapolis,0
"
three major flaps could jeopardize the project's timeline.",three major flap could jeopardize the project s timeline,0
"the u sued in september to keep its options open, and negotiations have been happening since.",the u sue in september to keep its option open and negotiation have be happen since,1
"despite the number of talks, a december deadline for resolution was missed.",despite the number of talk a december deadline for resolution be miss,0
"""we have made substantial progress in many areas,"" said kathleen o'brien, vice president for university services.",we have make substantial progress in many area say kathleen o brien vice president for university service,0
negative effects of the line on minority groups and businesses.,negative effect of the line on minority group and business,0
"stark, along with council member melvin carter iii, supports a plan endorsed by the st. paul area chamber of commerce and midway chamber of commerce to postpone the assessment until trains are rolling.",stark along with council member melvin carter iii support a plan endorse by the st paul area chamber of commerce and midway chamber of commerce to postpone the assessment until train be roll,0
"we need to make sure that there is transparency and the public has complete knowledge of how every dollar is being spent to manage the affairs of the environmental services department."" - shelly sigo  florida sunrail gets back on track u.s. transportation secretary ray lahood signed a full-funding agreement monday for the first phase of the central florida commuter train called sunrail.",we need to make sure that there be transparency and the public have complete knowledge of how every dollar be be spend to manage the affair of the environmental service department shelly sigo florida sunrail get back on track u s transportation secretary ray lahood sign a full funding agreement monday for the first phase of the central florida commuter train call sunrail,0
he announced july 1 that he would allow it to move forward.,he announce july that he would allow it to move forward,0
"the federal full-funding agreement is for 50% of the $615 million capital cost for phase one, a 31-mile section expected to begin service in 2014.",the federal full funding agreement be for of the million capital cost for phase one a mile section expect to begin service in,0
"primarily, the suit claims that in planning the project, the met council violated the minnesota environmental rights act by not addressing the u's concerns about ""environmental impact."" met council chairman peter bell responded tuesday by calling the suit ""premature and without merit,"" saying the planning agency had taken all necessary legal steps to move forward with the rail line connecting the downtowns of st. paul and minneapolis.",primarily the suit claim that in plan the project the met council violate the minnesota environmental rights act by not address the u s concern about environmental impact meet council chairman peter bell respond tuesday by call the suit premature and without merit say the planning agency have take all necessary legal step to move forward with the rail line connect the downtown of st paul and minneapolis,1
"this is not a show-stopper."" an fta spokesman could not be reached for comment.",this be not a show stopper an fta spokesman could not be reach for comment,0
"i really do wish, however, that the u would show more concern about the budgetary restraints we're under."" if the application for the final design is not submitted by early november, builders will miss the spring construction season -- which with inflation would add $30 million to $40 million to the cost of the $941 million project, bell said.",i really do wish however that the u would show more concern about the budgetary restraint we be under if the application for the final design be not submit by early november builder will miss the spring construction season which with inflation would add million to million to the cost of the million project bell say,1
"jeremy hanson, a spokesman for minneapolis mayor r.t. rybak, said in a statement, ""although we have not had a chance to fully review the lawsuit from the university, mayor rybak is concerned that any delay risks a huge inflationary cost increase to the project, which could put the entire light-rail line at risk."" comparing the central corridor to a highway project affecting farm owners, rotenberg said, ""if the project can't deal with the harm to adjacent landowners, then it can't move forward.",jeremy hanson a spokesman for minneapolis mayor r t rybak say in a statement although we have not have a chance to fully review the lawsuit from the university mayor rybak be concern that any delay risk a huge inflationary cost increase to the project which could put the entire light rail line at risk compare the central corridor to a highway project affect farm owner rotenberg say if the project can not deal with the harm to adjacent landowner then it can not move forward,1
"
planners hope to break ground on the 11-mile line next year, with trains running by 2014.",planner hope to break ground on the mile line next year with train run by,0
"meanwhile tuesday, coleman announced that the city is working to establish a fund to help st. paul businesses significantly affected by central corridor construction.",meanwhile tuesday coleman announce that the city be work to establish a fund to help st paul business significantly affect by central corridor construction,0
that's the message from mpr's just-published investigation and from a st. paul court ruling this week.,that be the message from mpr s just publish investigation and from a st paul court ruling this week,0
just a few of the stories: central corridor construction impacts small businessesdo they or don't they?,just a few of the story central corridor construction impact small businessesdo they or do not they,0
thanks are due to mpr for digging through the official records and documenting what happened.,thank be due to mpr for dig through the official record and document what happen,0
"mpr reported on one of the most egregious failures: the most striking example was a spot near the facility for the state services for the blind, where the sidewalk narrowed by more than two feet and then abruptly dropped off by a foot.",mpr report on one of the most egregious failure the most striking example be a spot near the facility for the state service for the blind where the sidewalk narrow by more than two foot and then abruptly drop off by a foot,0
"defendants did not do so."" despite finding that the court order was flouted, the judge refused to order a halt to construction, saying that the public good of construction outweighed the interests of the businesses that are suffering harm.",defendant do not do so despite find that the court order be flout the judge refuse to order a halt to construction say that the public good of construction outweigh the interest of the business that be suffer harm,0
